uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF
"396e9b1f-98ab-48fa-8e48-2099433ea12b","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T17:46Z","2022-08-24T17:46Z","NEON.DOC.014048vO","M","2022-08-25T22:00Z","2022-08-29T21:00Z","BARR_054-M-21-20220824","A00000309487","BARR_054-M-21-20220824-CN","A00000310180","BARR_054-M-21-20220824-BA","A00000310140",119.7,"N","OK",,"0000-0002-2117-4697",
"552c15cf-82a4-4f2e-bfa9-c4c98b0223ea","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T17:46Z","2022-08-24T17:46Z","NEON.DOC.014048vO","O","2022-08-25T22:00Z","2022-09-01T20:38Z","BARR_054-O-21-20220824","A00000309406","BARR_054-O-21-20220824-CN","A00000310188","BARR_054-O-21-20220824-BA","A00000310141",34.1,"N","OK",,"0000-0002-2117-4697",
"e0065b3f-e186-4a55-a774-8c150698de45","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T18:20Z","2022-08-24T18:20Z","NEON.DOC.014048vO","O","2022-08-25T22:00Z","2022-09-01T20:38Z","BARR_054-O-41-20220824","A00000309405","BARR_054-O-41-20220824-CN","A00000310208","BARR_054-O-41-20220824-BA","A00000310143",24.5,"N","OK",,"0000-0002-2117-4697",
"ac84c7c8-336a-4c80-aeca-453663d56985","D18","BARR","BARR_054","BARR_054.basePlot.bgc","2022-08-24T18:56Z","2022-08-24T18:56Z","NEON.DOC.014048vO","O","2022-08-25T22:00Z","2022-09-01T20:38Z","BARR_054-O-23-20220824","A00000309407","BARR_054-O-23-20220824-CN","A00000310191","BARR_054-O-23-20220824-BA","A00000310142",29.5,"N","OK",,"0000-0002-2117-4697",
"964f375f-b4fa-466c-8f44-62d80979623d","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T19:49Z","2022-08-24T19:49Z","NEON.DOC.014048vO","O","2022-08-25T22:00Z","2022-09-01T20:36Z","BARR_051-O-21-20220824","A00000309416","BARR_051-O-21-20220824-CN","A00000310182","BARR_051-O-21-20220824-BA","A00000310128",31.3,"N","OK",,"0000-0002-2117-4697",
"2de365ef-fd14-4620-a391-eb15fed7507f","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T19:49Z","2022-08-24T19:49Z","NEON.DOC.014048vO","M","2022-08-25T22:00Z","2022-08-29T21:00Z","BARR_051-M-21-20220824","A00000309497","BARR_051-M-21-20220824-CN","A00000310183","BARR_051-M-21-20220824-BA","A00000310131",71.7,"N","OK",,"0000-0002-2117-4697",
"9987076e-5237-4a4f-9cb8-d424fcd7de65","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T20:17Z","2022-08-24T20:17Z","NEON.DOC.014048vO","O","2022-08-25T22:00Z","2022-09-01T20:36Z","BARR_051-O-39-20220824","A00000309415","BARR_051-O-39-20220824-CN","A00000310197","BARR_051-O-39-20220824-BA","A00000310127",37.5,"N","OK",,"0000-0002-2117-4697",
"9e36a869-09a5-4b48-9f89-b2d2a6f32c22","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T20:34Z","2022-08-24T20:34Z","NEON.DOC.014048vO","O","2022-08-25T22:00Z","2022-09-01T20:36Z","BARR_051-O-41-20220824","A00000309414","BARR_051-O-41-20220824-CN","A00000310202","BARR_051-O-41-20220824-BA","A00000310126",17.9,"N","OK",,"0000-0002-2117-4697",
"5e7f386f-2a9c-4b3c-8afe-ce094f5d0cfa","D18","BARR","BARR_051","BARR_051.basePlot.bgc","2022-08-24T20:34Z","2022-08-24T20:34Z","NEON.DOC.014048vO","M","2022-08-25T22:00Z","2022-08-29T21:00Z","BARR_051-M-41-20220824","A00000309495","BARR_051-M-41-20220824-CN","A00000310203","BARR_051-M-41-20220824-BA","A00000310129",68.2,"N","OK",,"0000-0002-2117-4697",
"c079fe93-787f-4c89-8d31-dc80e1888e9e","D18","BARR","BARR_052","BARR_052.basePlot.bgc","2022-08-24T21:46Z","2022-08-24T21:46Z","NEON.DOC.014048vO","O","2022-08-25T22:00Z","2022-09-01T20:37Z","BARR_052-O-41-20220824","A00000309411","BARR_052-O-41-20220824-CN","A00000310204","BARR_052-O-41-20220824-BA","A00000310132",48.8,"N","OK",,"0000-0002-2117-4697",
