uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF
"dffd4d87-b138-43c8-ad6e-d5cea822fc64","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2016-08-02T17:30Z","2016-08-02T17:30Z","NEON.DOC.014048vG","O",,,"HEAL_010-O-4-6.5-20160802",,"HEAL_010-O-4-6.5-20160802-CN",,,,,,"OK",,"kschroder@neoninc.org",
"10820f4c-4edd-43d4-ad6a-887469ca3269","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2016-08-02T18:25Z","2016-08-02T18:25Z","NEON.DOC.014048vG","M",,,"HEAL_010-M-39.5-17-20160802",,"HEAL_010-M-39.5-17-20160802-CN",,,,,,"OK","QC0","kschroder@neoninc.org",
"1c908cb2-58c7-40cc-b5fc-a55bfcdc9ea5","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2016-08-02T19:35Z","2016-08-02T19:35Z","NEON.DOC.014048vG","O",,,"HEAL_010-O-35-35-20160802",,"HEAL_010-O-35-35-20160802-CN",,,,,,"OK",,"kschroder@neoninc.org",
"d9254072-1cce-474d-b51b-02fa781417fb","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2016-08-02T22:55Z","2016-08-02T22:55Z","NEON.DOC.014048vG","O",,,"HEAL_004-O-3-36-20160802",,"HEAL_004-O-3-36-20160802-CN",,,,,,"OK",,"kschroder@neoninc.org",
"b32b4f31-6caf-4033-ac59-9977262c3aab","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2016-08-03T18:20Z","2016-08-03T18:20Z","NEON.DOC.014048vG","O",,,"HEAL_025-O-11-0.5-20160803",,"HEAL_025-O-11-0.5-20160803-CN",,,,,,"OK",,"kschroder@neoninc.org",
"f892268d-5ba7-4985-9479-de0ea6bd6fb7","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2016-08-03T19:12Z","2016-08-03T19:12Z","NEON.DOC.014048vG","O",,,"HEAL_025-O-22-2.5-20160803",,"HEAL_025-O-22-2.5-20160803-CN",,,,,,"OK",,"kschroder@neoninc.org",
"ec4084cd-42f7-4873-9286-2f025d3cb063","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2016-08-03T19:39Z","2016-08-03T19:39Z","NEON.DOC.014048vG","O",,,"HEAL_025-O-23.5-31.5-20160803",,"HEAL_025-O-23.5-31.5-20160803-CN",,,,,,"OK",,"kschroder@neoninc.org",
"dd73cb9d-8a33-4cbc-b11d-65f7797794ac","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2016-08-03T22:22Z","2016-08-03T22:22Z","NEON.DOC.014048vG","O",,,"HEAL_011-O-2-35.5-20160803",,"HEAL_011-O-2-35.5-20160803-CN",,,,,,"OK",,"kschroder@neoninc.org",
"36e336d2-4818-42f4-b3cd-a5fddfc4c57b","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2016-08-03T23:00Z","2016-08-03T23:00Z","NEON.DOC.014048vG","O",,,"HEAL_011-O-17-7.5-20160803",,"HEAL_011-O-17-7.5-20160803-CN",,,,,,"OK","QC0","kschroder@neoninc.org",
"f88f5210-d536-40a2-9395-dbab80a37953","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2016-08-03T23:40Z","2016-08-03T23:40Z","NEON.DOC.014048vG","O",,,"HEAL_011-O-35-6.5-20160803",,"HEAL_011-O-35-6.5-20160803-CN",,,,,,"OK",,"kschroder@neoninc.org",
